,person_id,display_last_comma_first,country,team_id,from_year,to_year,draft_year
0,51,"Abdul-Rauf, Mahmoud",USA,1610612743,1990.0,2000.0,1990
1,1505,"Abdul-Wahad, Tariq",France,1610612758,1997.0,2003.0,1997
2,76007,"Abramovic, John",USA,1610610031,1946.0,1947.0,Undrafted
3,203112,"Acy, Quincy",USA,0,2012.0,2018.0,2012
4,200801,"Adams, Hassan",USA,0,2006.0,2008.0,2006
5,203919,"Adams, Jordan",USA,1610612763,2014.0,2015.0,2014
6,912,"Addison, Rafael",USA,1610612751,1986.0,1996.0,1986
7,201336,"Ahearn, Blake",USA,1610612748,2007.0,2011.0,Undrafted
8,202374,"Alabi, Solomon",Nigeria,1610612761,2010.0,2011.0,2010
9,76019,"Alarie, Mark",USA,1610612764,1986.0,1990.0,1986
10,203128,"Aldemir, Furkan",Turkey,1610612755,2014.0,2014.0,2012
11,200746,"Aldridge, LaMarcus",USA,1610612751,2006.0,2021.0,2006
12,1626146,"Alexander, Cliff",USA,1610612757,2015.0,2015.0,Undrafted
13,76022,"Alexander, Gary",USA,1610612739,1993.0,1993.0,Undrafted
14,1629734,"Alexander, Kyle",Canada,1610612748,2019.0,2019.0,Undrafted
15,1629638,"Alexander-Walker, Nickeil",Canada,1610612750,2019.0,2022.0,2019
16,1628960,"Allen, Grayson",USA,1610612749,2018.0,2022.0,2018
17,706,"Allen, Jerome",USA,1610612754,1995.0,1996.0,1995
18,2124,"Allen, Malik",USA,1610612748,2001.0,2010.0,Undrafted
19,1824,"Aluma, Peter",USA,0,1998.0,1998.0,Undrafted
20,732,"Amaya, Ashraf",USA,0,1995.0,1996.0,Undrafted
21,76034,"Anderegg, Bob",USA,1610612752,1959.0,1959.0,1959
22,2365,"Andersen, Chris",USA,0,2001.0,2016.0,Undrafted
23,101187,"Anderson, Alan",USA,1610612751,2005.0,2016.0,Undrafted
24,202079,"Anderson, Antonio",USA,0,2009.0,2009.0,Undrafted
25,76035,"Anderson, Cliff",USA,1610612747,1967.0,1970.0,1967
26,76036,"Anderson, Daniel",USA,1610612757,1974.0,1975.0,1974
27,1626147,"Anderson, Justin",USA,0,2015.0,2021.0,2015
28,72,"Anderson, Kenny",USA,0,1991.0,2004.0,1991
29,203937,"Anderson, Kyle",USA,1610612750,2014.0,2022.0,2014
30,98,"Anderson, Nick",USA,1610612753,1989.0,2002.0,1989
31,1000,"Anderson, Shandon",USA,1610612752,1996.0,2005.0,1996
32,335,"Anderson, Willie",USA,1610612759,1988.0,1996.0,1988
33,1512,"Anstey, Chris",Australia,1610612742,1997.0,1999.0,1997
34,21,"Anthony, Greg",USA,1610612752,1991.0,2001.0,1991
35,201202,"Anthony, Joel",Canada,1610612748,2007.0,2016.0,Undrafted
36,203544,"Antic, Pero",Macedonia,1610612737,2013.0,2014.0,Undrafted
37,76061,"Armstrong, Bob",USA,1610612744,1956.0,1956.0,1955
38,353,"Armstrong, Darrell",USA,1610612753,1994.0,2007.0,Undrafted
39,76063,"Arnette, Jay",USA,1610612758,1963.0,1965.0,1960
40,2306,"Arroyo, Carlos",Puerto Rico,1610612753,2001.0,2010.0,Undrafted
41,201589,"Arthur, Darrell",USA,1610612743,2008.0,2017.0,2008
42,278,"Augmon, Stacey",USA,1610612737,1991.0,2005.0,1991
43,201571,"Augustin, D.J.",USA,1610612747,2008.0,2021.0,2008
44,138,"Avent, Anthony",USA,1610612749,1992.0,1999.0,1991
45,76078,"Awtrey, Dennis",USA,1610612756,1970.0,1981.0,1970
46,1630555,"Ayayi, Joel",France,0,2021.0,2021.0,Undrafted
47,202970,"Ayon, Gustavo",Mexico,0,2011.0,2016.0,Undrafted
48,101235,"Azubuike, Kelenna",United Kingdom,1610612744,2006.0,2011.0,Undrafted
49,76080,"Bach, Johnny",USA,1610612738,1948.0,1948.0,1948
50,1628407,"Bacon, Dwayne",USA,1610612753,2017.0,2020.0,2017
51,76081,"Baechtold, Jim",USA,1610612752,1952.0,1956.0,1952
52,1628963,"Bagley III, Marvin",USA,1610612765,2018.0,2022.0,2018
53,76084,"Bailey, Carl",USA,1610612757,1981.0,1981.0,1980
54,76085,"Bailey, James",USA,1610612760,1979.0,1987.0,1979
55,1858,"Baker, Mark",USA,0,1998.0,1998.0,Undrafted
56,1627758,"Baker, Ron",USA,0,2016.0,2018.0,Undrafted
57,1627735,"Baldwin IV, Wade",USA,0,2016.0,2018.0,2016
58,1630217,"Bane, Desmond",USA,1610612763,2020.0,2022.0,2020
59,76097,"Bardo, Stephen",USA,1610612742,1991.0,1995.0,1990
60,76099,"Barker, Tom",USA,1610612737,1976.0,1978.0,1976
61,2057,"Barkley, Erick",USA,1610612757,2000.0,2002.0,2000
62,76102,"Barksdale, Don",USA,1610612738,1951.0,1954.0,Undrafted
63,1631230,"Barlow, Dominick",USA,1610612759,2022.0,2022.0,Undrafted
64,1630567,"Barnes, Scottie",USA,1610612761,2021.0,2022.0,2021
65,76110,"Barnhorst, Leo",USA,1610610030,1949.0,1953.0,1949
66,76114,"Barrett, Ernie",USA,0,1953.0,2008.0,1951
67,1003,"Barry, Drew",USA,1610612737,1997.0,1999.0,1996
68,600013,"Barry, Rick",USA,1610612744,1965.0,1979.0,1965
69,76120,"Bassett, Tim",USA,1610612751,1976.0,1979.0,1973
70,174,"Battle, John",USA,1610612737,1985.0,1994.0,1985
71,76123,"Battle, Kenny",USA,1610612756,1989.0,1992.0,1989
72,76127,"Baylor, Elgin",USA,1610612747,1958.0,1971.0,1958
73,1627736,"Beasley, Malik",USA,1610612747,2016.0,2022.0,2016
74,76136,"Beck, Ernie",USA,1610612744,1953.0,1960.0,1953
75,1627761,"Bembry, DeAndre'",USA,0,2016.0,2021.0,2016
76,76145,"Bemoras, Irv",USA,1610612737,1953.0,1956.0,1953
77,1886,"Bender, Jonathan",USA,1610612754,1999.0,2009.0,1999
78,203968,"Benimon, Jerrelle",USA,0,2014.0,2014.0,Undrafted
79,104,"Benjamin, Benoit",USA,0,1985.0,1999.0,1985
80,203461,"Bennett, Anthony",Canada,0,2013.0,2016.0,2013
81,712,"Bennett, Mario",USA,1610612747,1995.0,2002.0,1995
82,76152,"Bennett, Winston",USA,1610612739,1989.0,1991.0,1988
83,1627791,"Bentil, Ben",Ghana,0,2016.0,2016.0,2016
84,1631262,"Bernard, Jules",USA,0,,,Undrafted
85,76157,"Berry, Ricky",USA,1610612758,1988.0,1988.0,1988
86,1629541,"Bertans, Dairis",Latvia,1610612740,2018.0,2018.0,Undrafted
87,202722,"Bertans, Davis",Latvia,1610612742,2016.0,2022.0,2011
88,1630189,"Bey, Tyler",USA,1610612742,2020.0,2020.0,2020
89,76160,"Bianchi, Al",USA,1610612755,1956.0,1965.0,1954
90,76163,"Biedenbach, Ed",USA,1610612756,1968.0,1968.0,1968
91,76164,"Bielke, Don",USA,1610612765,1955.0,1955.0,1954
92,76165,"Bigelow, Bob",USA,1610612758,1975.0,1978.0,1975
93,76168,"Bird, Jerry",USA,1610612752,1958.0,1958.0,1956
94,1449,"Bird, Larry",USA,1610612738,1979.0,1991.0,1978
95,202357,"Bjelica, Nemanja",Serbia,1610612744,2015.0,2021.0,2010
96,76184,"Blanton, Ricky",USA,1610612741,1992.0,1992.0,1989
97,101154,"Blatche, Andray",USA,1610612764,2005.0,2013.0,2005
98,76191,"Bockhorn, Arlen",USA,1610612758,1958.0,1964.0,1958
99,1631205,"Boeheim, Buddy",USA,1610612765,2022.0,2022.0,Undrafted
