,team_id,arena
0,1610612737,State Farm Arena
1,1610612738,TD Garden
2,1610612739,Rocket Mortgage FieldHouse
3,1610612740,Smoothie King Center
4,1610612741,United Center
5,1610612742,American Airlines Center
6,1610612743,Ball Arena
7,1610612744,Chase Center
8,1610612745,Toyota Center
9,1610612746,Crypto.com Arena
10,1610612747,Crypto.com Arena
11,1610612748,Miami-Dade Arena
12,1610612749,Fiserv Forum
13,1610612750,Target Center
14,1610612751,Barclays Center
15,1610612752,Madison Square Garden
16,1610612753,Amway Center
17,1610612754,Gainbridge Fieldhouse 
18,1610612755,Wells Fargo Center
19,1610612756,Footprint Center
20,1610612757,Moda Center
21,1610612758,Golden 1 Center
22,1610612759,AT&T Center
23,1610612760,Paycom Center
24,1610612761,Scotiabank Arena
25,1610612762,Vivint Arena
26,1610612763,FedExForum
27,1610612764,Capital One Arena
28,1610612765,Little Caesars Arena
29,1610612766,Spectrum Center
